hi pibo,hello. It's a pibo.
I'm worried about what to do later,Find out what you really want to do.
I will start a business later,Get ready slowly.
If you had nothing to hide from me,Belief is the most important thing.
If you wouldn't lie to me,I hope it's a white lie.
What if it smells like me?,"""Rinse clean and apply fabric softener or body wash body lotion Try perfume, etc."""
will it smell on me?,sniff sniff
It seems like you expect too much from me,Expectations seem high.
I have a lot of problems,The problem is to be solved.
please consult me,I guess I made a decision without talking.
You'd better consult me,I guess I made a decision without talking.
Does it smell weird to me?,sniff sniff
Do you have something to say to me?,I can look forward to it.
I wish you some luck,I want to give you all my luck.
Just be polite to me,Please tell me that the words that come are good and the words that go are good.
Why does this only happen to me,Someone else will too.
If only you were completely honest with me,Belief is the most important thing.
I like the sound of stepping on leaves,It's autumn.
sound of stepping on leaves,It's autumn.
I haven't been fishing,I think it would be good to give it a try.
"I haven't tried fishing, but it looks fun",I think it would be good to give it a try.
Is fishing fun?,"They say that once you fall in, you can't get out."
How about a guy who likes fishing?,Try it together.
What fun is fishing?,"They say that once you fall in, you can't get out."
I don't think I can raise animals,You know.
I guess I tried a lot,What matters is the process of trying.
i'm trash,Abandon that thought.
Why can't I speak nicely,Just do it like you do now.
Why am I an emo?,I'm not short on it.
i really can't,Everything will be fine.
i'm real trash,Abandon that thought.
i am a genius,I'm more of a genius.
"Heating is expensive, but it's cold",Buy warmly!
no heating,See if the boiler is running on heating.
"No heating, it's cold",See if the boiler is running on heating.
made me wait for hours,I must have thought a lot while waiting.
the weather seems dry,"""Mist or humidifier Try using a wet towel or something."""
why is the weather so cold,Dress warmly.
I think the weather has cleared up a bit,it got warm
nice weather,Look at the sky and smile. Your mood will change.
kill the weather,go on an outing
the weather is great,Look at the sky and smile.
the weather has cleared,it got warm
the weather is so damp,Turn on the dehumidifier.
the weather is too cold,It seems difficult to leave the house.
the weather is arctic,It seems difficult to leave the house.
the weather is really hot,Have a glass of cool water
I want to fly,I think it's possible if you live a long time.
I keep getting mad at my younger brother,Practice holding back your anger.
What should I do to be recognized by others?,You can do one more than others.
I feel like people are swearing at me,Don't worry about other people's eyes.
It seems like everyone else is pointing fingers,Don't worry about other people's eyes.
no vacation left,I must be desperate for a vacation.
care too much about other people's eyes,"It might be that way, so please understand."
Should I help others,Do it and make a lot of tea.
"I scratched someone else's car, my money",I'm going to have a heartache.
I'm trying to go down a path that no one else walks,Everyone doesn't have to stand in a rushing line.
Where do you usually meet men,Ask for a blind date.
where to meet men,Ask for a blind date.
My boyfriend asked me to,Please express your gratitude.
how to do men's makeup,I think you'll be fine if you do it in moderation.
The man loves fishing,Try it together.
What do you think about men wearing makeup?,I think you'll be fine if you do it in moderation.
I think it would be comfortable if it was a man,Men are not all good.
i wish i was a man,Men are not all good.
tell me if it's a man or a woman,I don't know yet. Become a gender maker for artificial intelligence
I want to take my boyfriend to church,Persuade until you open your heart.
My boyfriend went to the gym again,Try exercising together.
"It's my boyfriend's birthday, what should I give him?",Think about what you need on a daily basis.
What would be a good gift for a boyfriend's promotion?,I think it would be nice to have what I normally need.
Boyfriend looks warm today,Did you save a country in a past life?
My boyfriend is a bit bored today.,"The sooner you decide, the better."
my boyfriend doesn't trust me,Lie in moderation.
boyfriend is too busy,Don't be too clingy.
My boyfriend works out too much,Try exercising together.
my boyfriend is so handsome,Did you save a country in a past life?
my boyfriend took me,Please express your gratitude.
My boyfriend misspells too many times,I'm a little bit awake.
My boyfriend started a business,Please be my strength when I am busy.
My boyfriend is in business,Please be my strength when I am busy.
My boyfriend is bad at photography,Don't bully me though.
My boyfriend can't take too many pictures,Don't bully me though.
My boyfriend won't play with me,Don't be too clingy.
My boyfriend has a lot of aegyo,It must be cute.
boyfriend insults,"If you judge that you may make a mistake at the moment, forgive and give it a chance."
boyfriend is suspicious,Lie in moderation.
wish my boyfriend would do an event for me.,you do it
My boyfriend doesn't do events well,you do it
My boyfriend has a bad mouth,It's not about fixing people.
My boyfriend keeps nagging me,nag more
My boyfriend nags me a lot,nag more
Boyfriend doesn't call,Make more contact or meet more often.
